Ticker,Strike,Bid,Ask
SPX 2/17/23 C3775,3775,806.0998535,815.6999512
SPX 2/17/23 C3800,3800,787.2998047,796.5
SPX 2/17/23 C3825,3825,768.2998047,777.5998535
SPX 2/17/23 C3850,3850,749.5,758.6999512
SPX 2/17/23 C3875,3875,730.7998047,739.8999023
SPX 2/17/23 C3900,3900,712.2998047,720.8999023
SPX 2/17/23 C3925,3925,693.8999023,702.6999512
SPX 2/17/23 C3950,3950,675.5998535,684.2998047
SPX 2/17/23 C3975,3975,657.3999023,665.8999023
SPX 2/17/23 C4000,4000,639.6999512,647.6999512
SPX 2/17/23 C4025,4025,621.7998047,629.8999023
SPX 2/17/23 C4050,4050,604.0998535,612.0998535
SPX 2/17/23 C4075,4075,586.5998535,594.5998535
SPX 2/17/23 C4100,4100,569.3999023,576.8999023
SPX 2/17/23 C4125,4125,552,559.6999512
SPX 2/17/23 C4150,4150,535.1999512,542.6999512
SPX 2/17/23 C4175,4175,518.2998047,525.6999512
SPX 2/17/23 C4200,4200,501.6999512,508.5998535
SPX 2/17/23 C4225,4225,485,492.0998535
SPX 2/17/23 C4250,4250,468.8999023,475.6999512
SPX 2/17/23 C4275,4275,452.6999512,459.5
SPX 2/17/23 C4300,4300,436.6999512,443.0998535
SPX 2/17/23 C4325,4325,420.8999023,427.3999023
SPX 2/17/23 C4350,4350,405.1999512,411.5998535
SPX 2/17/23 C4375,4375,390,396.2998047
SPX 2/17/23 C4400,4400,374.7998047,380.6999512
SPX 2/17/23 C4425,4425,359.7998047,365.7998047
SPX 2/17/23 C4450,4450,345,350.8999023
SPX 2/17/23 C4475,4475,330.7998047,335.0998535
SPX 2/17/23 C4500,4500,316.1999512,321.6999512
SPX 2/17/23 C4525,4525,301.8999023,307.5
SPX 2/17/23 C4550,4550,287.8999023,293.3999023
SPX 2/17/23 C4575,4575,274.1999512,279.5998535
SPX 2/17/23 C4600,4600,260.8999023,265.8999023
SPX 2/17/23 C4625,4625,247.6000061,252.8000031
SPX 2/17/23 C4650,4650,234.6999969,239.6999969
SPX 2/17/23 C4675,4675,222,226.8999939
SPX 2/17/23 C4700,4700,209.8999939,214.5
SPX 2/17/23 C4725,4725,197.8999939,202.6000061
SPX 2/17/23 C4750,4750,186.3999939,191
SPX 2/17/23 C4775,4775,175.1999969,179.6999969
SPX 2/17/23 C4800,4800,164.6999969,168.8000031
SPX 2/17/23 C4825,4825,154.1999969,158.5
SPX 2/17/23 C4850,4850,144.3000031,148.3999939
SPX 2/17/23 C4875,4875,134.6999969,138.6999969
SPX 2/17/23 C4900,4900,125.6999969,129.3000031
SPX 2/17/23 C4925,4925,117.4000092,120.6000061
SPX 2/17/23 C4950,4950,109.1999969,112.1999969
SPX 2/17/23 C4975,4975,101.6000061,104.4000092
SPX 2/17/23 C5000,5000,94.40000916,96.80000305
