Strike,Bid,Ask
3885,575.5,579.8999023
3890,571.1999512,575.5998535
3895,566.8999023,571.2998047
3900,562.5998535,566.8999023
3905,558,562.3999023
3910,554.0998535,558.3999023
3915,549.5998535,554
3920,545.3999023,549.7998047
3925,541.1999512,545.3999023
3930,537.1999512,541.2998047
3935,532.8999023,536.8999023
3940,528.7998047,532.7998047
3945,524.5998535,528.5998535
3950,520.3999023,524.2998047
3955,516.0998535,520.0998535
3960,511.6999512,515.6999512
3965,507.6999512,511.6999512
3970,503.5,507.5
3975,499.5,503.3999023
3980,495.2998047,499.1999512
3985,491.0998535,495
3990,486.8999023,490.7998047
3995,482.6999512,486.6999512
4000,478.6999512,482.3999023
4005,474.5,478.3999023
4010,470.5,474.2998047
4015,466.3999023,470.0998535
4020,462.3999023,466.0998535
4025,458.2998047,462
4030,454,457.6999512
4035,450.0998535,453.6999512
4040,446.0998535,449.6999512
4045,442.0998535,445.6999512
4050,438,441.5998535
4055,434,437.5998535
4060,429.8999023,433.3999023
4065,425.6999512,429.1999512
4070,421.8999023,425.3999023
4075,417.6999512,421.1999512
4080,413.8999023,417.2998047
4085,409.8999023,413.2998047
4090,405.7998047,409.2998047
4095,402.0998535,405.3999023
4100,398.0998535,401.3999023
4105,394.0998535,397.3999023
4110,390.1999512,393.5998535
4115,386.0998535,389.3999023
4120,382.2998047,385.5998535
4125,378.5,381.6999512
4130,374.3999023,377.6999512
4135,370.5,373.8999023
4140,366.7998047,370
4145,362.7998047,366
4150,359.1000977,362.3000488
4155,355.1999512,358.3999023
4160,351.5,354.5998535
4165,347.5998535,350.6999512
4170,343.6999512,346.7998047
4175,339.8999023,343
4180,336.0998535,339.0998535
4185,332.5,335.5
4190,328.5998535,331.5998535
4195,325.0998535,328
4200,321.1999512,324.0998535
4205,317.5,320.3999023
4210,313.6999512,316.5998535
4215,310,312.8999023
4220,306.3000488,309.3000488
4225,302.7998047,305.5998535
4230,299.0998535,302
4235,295.3999023,298.3000488
4240,291.6999512,294.5
4245,288.1999512,291.1000977
4250,284.5,287.3000488
4255,281,283.6999512
4260,277.2998047,280
4265,273.6999512,276.3999023
4270,270.1999512,272.8999023
4275,266.6000977,269.2998047
4280,263.1000977,265.6999512
4285,259.6000977,262.1999512
4290,256.0998535,258.7998047
4295,253,254.8999939
4300,249.6000061,251.3999939
4305,246.1000061,247.8999939
4310,242.8000031,244.5
4315,239.3999939,241.1000061
4320,236,237.6999969
4325,232.5,234.3000031
4330,229.1000061,230.8999939
4335,225.8000031,227.5
4340,222.5,224.1000061
4345,219.1000061,220.6999969
4350,215.8000031,217.3000031
4355,212.5,214.1000061
4360,209.1999969,210.8000031
4365,205.8999939,207.5
4370,202.6999969,204.1999969
4375,199.5,201
4380,196.1999969,197.8999939
4385,193.1000061,194.6000061
4390,189.8999939,191.3999939
4395,186.8000031,188.3000031
4400,183.6000061,185.1000061
4405,180.5,182
4410,177.3999939,178.8999939
4415,174.3999939,175.8000031
4420,171.3000031,172.8000031
4425,168.3000031,169.6999969
4430,165.3000031,166.6999969
4435,162.3000031,163.6999969
4440,159.3000031,160.6999969
4445,156.3999939,157.6999969
4450,153.3999939,154.8999939
4455,150.6000061,151.8999939
4460,147.6999969,149.1000061
4465,144.8999939,146.1999969
4470,142.1000061,143.3000031
4475,139.3000031,140.5
4480,136.5,137.6999969
4485,133.6999969,135
4490,131,132.3000031
4495,128.3000031,129.6000061
4500,125.6999969,126.9000092
4505,123,124.1999969
4510,120.3999939,121.6000061
4515,117.8000031,119
4520,115.1999969,116.5
4525,112.6999969,113.9000092
4530,110.1999969,111.4000092
4535,107.6999969,109
4540,105.3000031,106.5
4545,102.8999939,104.1000061
4550,100.5,101.6999969
4555,98.19999695,99.30000305
4560,95.80000305,96.90000916
4565,93.59999084,94.69999695
4570,91.30000305,92.40000916
4575,89.09999084,90.1000061
4580,86.8999939,87.90000916
4585,84.69999695,85.69999695
4590,82.59999084,83.6000061
4595,80.5,81.5
4600,78.3999939,79.40000916
4605,76.30000305,77.40000916
4610,74.3999939,75.40000916
4615,72.40000916,73.40000916
4620,70.5,71.5
4625,68.59999084,69.59999084
4630,66.80000305,67.69999695
4635,64.8999939,65.8999939
4640,63.09999084,64.1000061
4645,61.3999939,62.29998779
4650,59.59999084,60.5
4655,58,58.79998779
4660,56.29998779,57.19999695
4665,54.69999695,55.59999084
4670,53.09999084,54
4675,51.59999084,52.3999939
4680,50,50.90000916
4685,48.59999084,49.5
4690,47.09999084,48
4695,45.69999695,46.5
4700,44.29998779,45.09999084
4705,43,43.79998779
4710,41.69999695,42.5
4715,40.40000916,41.19999695
4720,39.09999084,40
4725,37.90000916,38.69999695
4730,36.69999695,37.5
4735,35.59999084,36.5
4740,34.3999939,35.19999695
4745,33.3999939,34.19999695
4750,32.30000305,33.1000061
4755,31.29998779,32.1000061
4760,30.30000305,31
4765,29.30000305,30.1000061
4770,28.3999939,29.29998779
4775,27.5,28.30000305
4780,26.60000038,27.30000305
4785,25.69999695,26.5
4790,25,25.6000061
4795,24.19999695,24.80000305
4800,23.3999939,24.1000061
4805,22.6000061,23.19999695
4810,21.8999939,22.5
4815,21.19999695,21.80000305
4820,20.5,21.1000061
4825,19.8999939,20.5
4830,19.29999924,19.80000305
4835,18.60000038,19.19999695
4840,18,18.6000061
4845,17.5,18.1000061
4850,16.8999939,17.3999939
4855,16.3999939,16.8999939
4860,15.89999962,16.3999939
4870,14.89999962,15.39999962
4875,14.39999962,15
4880,13.89999962,14.5
4890,13.10000038,13.60000038
